"The remind log has been deleted.","The remind log has been deleted."
"This remind log to delete was not found.","This remind log to delete was not found."
"Review Remind Log","Review Remind Log"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 emails have been sent.","A total of %1 emails have been sent."
"A total of %1 emails have been sent the maximum number or Customer has reviewed all products in order.","A total of %1 emails have been sent the maximum number or Customer has reviewed all products in order."
"Module Reivew Reminder is disabled.","Module Reivew Reminder is disabled."
"An error occurred. The email can not be opened for preview.","An error occurred. The email can not be opened for preview."
"The remind email has been sent.","The remind email has been sent."
"Has sent the maximum number of mail or Customer has reviewed all products in order.","Has sent the maximum number of mail or Customer has reviewed all products in order."
"This email to send was not found.","This email to send was not found."
"Module Review Reminder is disabled.","Module Review Reminder is disabled."
"Pending","Pending"
"Sent","Sent"
"Delete","Delete"
"Preview","Preview"
"Name","Name"
"SKU","SKU"
"Go to review","Go to review"
"All products have been reviewed","All products have been reviewed"
