Pre-Order,Pre-Order,module,Bss_PreOrder
"from %1 to %2","from %1 to %2",module,Bss_PreOrder
"from %1","from %1",module,Bss_PreOrder
"to %1","to %1",module,Bss_PreOrder
No,No,module,Bss_PreOrder
Yes,Yes,module,Bss_PreOrder
"When Product Become Out Of Stock","When Product Become Out Of Stock",module,Bss_PreOrder
"Please specify the quantity of product(s).","Please specify the quantity of product(s).",module,Bss_PreOrder
"Cannot process the item.","Cannot process the item.",module,Bss_PreOrder
"Pre-Ordered Product","Pre-Ordered Product",module,Bss_PreOrder
"Only create shipment with in stock product. Could not create a shipment because "" . . "" is a pre-order product.","Only create shipment with in stock product. Could not create a shipment because "" . . "" is a pre-order product.",module,Bss_PreOrder
"{date} & {preorder_date} can be used as Availability Date. If this field is blank,
                the default message edited in the configuration will be displayed.","{date} & {preorder_date} can be used as Availability Date. If this field is blank,
                the default message edited in the configuration will be displayed.",module,Bss_PreOrder
"{date} can be used as Availability Date, {preorder_date}
                can be used as Availability Pre-order Date","{date} can be used as Availability Date, {preorder_date}
                can be used as Availability Pre-order Date",module,Bss_PreOrder
"This config only works when the product is set Pre-order: Yes","This config only works when the product is set Pre-order: Yes",module,Bss_PreOrder
"{preorder_date} can be used as the Pre-order Button Availability period.
                If this field is blank, the default message edited in the configuration will be displayed","{preorder_date} can be used as the Pre-order Button Availability period.
                If this field is blank, the default message edited in the configuration will be displayed",module,Bss_PreOrder
"{preorder_date} can be used as the Pre-order Button Availability period.","{preorder_date} can be used as the Pre-order Button Availability period.",module,Bss_PreOrder
"Pre-order Button Availability From","Pre-order Button Availability From",module,Bss_PreOrder
To,To,module,Bss_PreOrder
Items,Items,module,Bss_PreOrder
Qty,Qty,module,Bss_PreOrder
Price,Price,module,Bss_PreOrder
"Gift Message for this Order","Gift Message for this Order",module,Bss_PreOrder
From:,From:,module,Bss_PreOrder
To:,To:,module,Bss_PreOrder
Message:,Message:,module,Bss_PreOrder
"Pre Order","Pre Order",module,Bss_PreOrder
"Available: Pre Order","Available: Pre Order",module,Bss_PreOrder
Availability,Availability,module,Bss_PreOrder
"In stock","In stock",module,Bss_PreOrder
"Out of stock","Out of stock",module,Bss_PreOrder
"Send Test Email","Send Test Email",module,Bss_ReviewReminder
"Import old orders","Import old orders",module,Bss_ReviewReminder
"The remind log has been deleted.","The remind log has been deleted.",module,Bss_ReviewReminder
"This remind log to delete was not found.","This remind log to delete was not found.",module,Bss_ReviewReminder
"Review Reminder Logs","Review Reminder Logs",module,Bss_ReviewReminder
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted.",module,Bss_ReviewReminder
"A total of %1 emails have been sent.","A total of %1 emails have been sent.",module,Bss_ReviewReminder
"A total of %1 emails could not send.","A total of %1 emails could not send.",module,Bss_ReviewReminder
"Module Reivew Reminder is disabled.","Module Reivew Reminder is disabled.",module,Bss_ReviewReminder
"An error occurred. The email can not be opened for preview.","An error occurred. The email can not be opened for preview.",module,Bss_ReviewReminder
"The remind email has been sent.","The remind email has been sent.",module,Bss_ReviewReminder
"Has sent the maximum number of mail or Customer has reviewed all products in order","Has sent the maximum number of mail or Customer has reviewed all products in order",module,Bss_ReviewReminder
"Review reminder is not applied for  %1 orders.","Review reminder is not applied for  %1 orders.",module,Bss_ReviewReminder
"Module Review Reminder is disabled at %1.","Module Review Reminder is disabled at %1.",module,Bss_ReviewReminder
"This email to send was not found.","This email to send was not found.",module,Bss_ReviewReminder
"The test review reminder has been sent to","The test review reminder has been sent to",module,Bss_ReviewReminder
Pending,Pending,module,Bss_ReviewReminder
Approve,Approve,module,Bss_ReviewReminder
"--Please Select--","--Please Select--",module,Bss_ReviewReminder
Customer,Customer,module,Bss_ReviewReminder
Guest,Guest,module,Bss_ReviewReminder
Sent,Sent,module,Bss_ReviewReminder
Delete,Delete,module,Bss_ReviewReminder
"Are you sure you want to delete this log?","Are you sure you want to delete this log?",module,Bss_ReviewReminder
"Email Preview","Email Preview",module,Bss_ReviewReminder
"Import old orders before install this module","Import old orders before install this module",module,Bss_ReviewReminder
Items,Items,module,Bss_ReviewReminder
Review,Review,module,Bss_ReviewReminder
Name,Name,module,Bss_ReviewReminder
SKU,SKU,module,Bss_ReviewReminder
"Go to review","Go to review",module,Bss_ReviewReminder
"All products have been reviewed","All products have been reviewed",module,Bss_ReviewReminder
"%1 Gallery","%1 Gallery",theme,frontend/BFD/Hyva_Demo
"Fullscreen Gallery","Fullscreen Gallery",theme,frontend/BFD/Hyva_Demo
"Open fullscreen","Open fullscreen",theme,frontend/BFD/Hyva_Demo
"Close fullscreen","Close fullscreen",theme,frontend/BFD/Hyva_Demo
"%1 Gallery Navigation","%1 Gallery Navigation",theme,frontend/BFD/Hyva_Demo
Previous,Previous,theme,frontend/BFD/Hyva_Demo
Next,Next,theme,frontend/BFD/Hyva_Demo
"%1 Gallery Thumbnails","%1 Gallery Thumbnails",theme,frontend/BFD/Hyva_Demo
"Gallery modal fullscreen","Gallery modal fullscreen",theme,frontend/BFD/Hyva_Demo
"Main image","Main image",theme,frontend/BFD/Hyva_Demo
"Click to view image in fullscreen","Click to view image in fullscreen",theme,frontend/BFD/Hyva_Demo
"%1 thumbnail","%1 thumbnail",theme,frontend/BFD/Hyva_Demo
"Compare Products","Compare Products",theme,frontend/BFD/Hyva_Demo
item,item,theme,frontend/BFD/Hyva_Demo
items,items,theme,frontend/BFD/Hyva_Demo
Search,Search,theme,frontend/BFD/Hyva_Demo
Cart,Cart,theme,frontend/BFD/Hyva_Demo
"Go to Home page","Go to Home page",theme,frontend/BFD/Hyva_Demo
"Store logo","Store logo",theme,frontend/BFD/Hyva_Demo
"View All","View All",theme,frontend/BFD/Hyva_Demo
"Gallery modal fullscreen","Gallery modal fullscreen",theme,frontend/BFD/Hyva_Hypernode
"Main image","Main image",theme,frontend/BFD/Hyva_Hypernode
"Click to view image in fullscreen","Click to view image in fullscreen",theme,frontend/BFD/Hyva_Hypernode
Previous,Previous,theme,frontend/BFD/Hyva_Hypernode
"%1 thumbnail","%1 thumbnail",theme,frontend/BFD/Hyva_Hypernode
Next,Next,theme,frontend/BFD/Hyva_Hypernode
"Close fullscreen","Close fullscreen",theme,frontend/BFD/Hyva_Hypernode
"Add to Cart","Add to Cart",theme,frontend/BFD/MisterBricks_Hyva
"Update item","Update item",theme,frontend/BFD/MisterBricks_Hyva
"Gallery modal fullscreen","Gallery modal fullscreen",theme,frontend/BFD/MisterBricks_Hyva
"Main image","Main image",theme,frontend/BFD/MisterBricks_Hyva
